ID,Date,Holiday,NEM,AFMA_NSW,AFMA_VIC,AFMA_SA,AFMA_QLD,AFMA_TAS,ASX_NSW,ASX_VIC,ASX_SA,ASX_QLD,Official_NSW,Official_VIC,Official_QLD,Official_TAS,Official_SA,Official_ACT,Official_WA,Official_NT
412,2024-08-14,Royal Queensland Show Day     ,false,false,false,false,true,false,false,false,false,true,false,false,true,false,false,false,false,false
553,2024-09-27,Grand Final Day Eve           ,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
413,2024-10-07,Labour Day                    ,false,true,false,true,false,false,true,false,true,false,true,false,false,false,true,true,false,false
570,2024-10-07,Queen's Birthday              ,false,false,false,false,true,false,false,false,false,true,false,false,true,false,false,false,false,false
414,2024-11-05,Melbourne Cup Day             ,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false
415,2024-12-25,Christmas Day                 ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
416,2024-12-26,Boxing Day                    ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
417,2025-01-01,New Year's Day                ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
418,2025-01-27,Australia Day                 ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
419,2025-03-03,Labour Day                    ,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false
420,2025-03-10,Labour Day                    ,false,false,true,false,false,true,false,true,false,false,false,true,false,true,false,false,false,false
421,2025-04-18,Good Friday                   ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
422,2025-04-21,Easter Monday                 ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
423,2025-04-25,ANZAC Day                     ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
424,2025-05-05,Labour Day                    ,false,false,false,false,true,false,false,false,false,true,false,false,true,false,false,false,false,false
425,2025-06-09,Queens Birthday               ,true,true,true,true,false,true,true,true,true,false,true,true,false,true,true,true,false,true
426,2025-08-13,Royal Queensland Show Day     ,false,false,false,false,true,false,false,false,false,true,false,false,true,false,false,false,false,false
554,2025-09-26,Grand Final Day Eve           ,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
427,2025-10-06,Labour Day                    ,false,true,false,true,false,false,true,false,true,false,true,false,false,false,true,true,false,false
571,2025-10-06,Queen's Birthday              ,false,false,false,false,true,false,false,false,false,true,false,false,true,false,false,false,false,false
428,2025-11-04,Melbourne Cup Day             ,false,false,true,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false
429,2025-12-25,Christmas Day                 ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
430,2025-12-26,Boxing Day                    ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
431,2026-01-01,New Year's Day                ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
432,2026-01-26,Australia Day                 ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
433,2026-03-02,Labour Day                    ,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false
434,2026-03-09,Labour Day                    ,false,false,true,false,false,true,false,true,false,false,false,true,false,true,false,false,false,false
435,2026-04-03,Good Friday                   ,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
